question,soru_tipi,graphrag_processing_time,graphrag_madde_precision,graphrag_madde_recall,graphrag_madde_f1,graphrag_faithfulness,graphrag_answer_relevancy,graphrag_semantic_similarity,graphrag_llm_context_precision_with_reference,graphrag_context_recall,graphrag_non_llm_context_recall,basicrag_processing_time,basicrag_madde_precision,basicrag_madde_recall,basicrag_madde_f1,basicrag_faithfulness,basicrag_answer_relevancy,basicrag_semantic_similarity,basicrag_llm_context_precision_with_reference,basicrag_context_recall,basicrag_non_llm_context_recall
"Savaş zamanında, bir kişi düşman karşısında ülkenin direncini azaltacak şekilde asılsız haber yayarsa hangi suçtan yargılanır?",single-hop,5.24,0.3333,1.0,0.5,1.0,0.539,0.7723,1.0,1.0,0.0,2.41,0.1,1.0,0.1818,1.0,0.4812,0.8243,1.0,1.0,0.0
Siyasal veya askerî casusluk maksadıyla gizli bilgileri açıklama suçunun savaş zamanında işlenmesi ceza süresini nasıl etkiler?,single-hop,5.68,0.5,0.5,0.5,1.0,0.4887,0.731,1.0,0.6667,0.0,2.24,0.2,1.0,0.3333,1.0,0.4739,0.6593,1.0,1.0,0.0
"Türk Ceza Kanunu'nun hangi bölümü, yürürlük ve yürütme gibi son hükümleri ele alır?",single-hop,3.76,0.5,0.5,0.5,0.75,0.6767,0.7465,0.0,0.25,0.0,1.55,0.2,1.0,0.3333,0.0,0.7764,0.7467,1.0,0.6667,0.0
Zincirleme suç halinde ceza nasıl belirlenir?,single-hop,4.08,1.0,1.0,1.0,1.0,0.3696,0.868,1.0,1.0,0.0,2.53,0.1,1.0,0.1818,1.0,0.406,0.8741,1.0,1.0,0.0
Azmettirme suretiyle suça iştirak eden kişinin cezası nedir?,single-hop,10.21,0.5,1.0,0.6667,1.0,0.4698,0.9045,1.0,1.0,0.0,2.8,0.1,1.0,0.1818,0.8571,0.4849,0.8544,1.0,1.0,0.0
"Türk Ceza Kanunu'nun hangi maddesi, yabancı ülkede işlenen suçların yargılanmasında, cezaların seçimlik olarak uygulanması durumunda, soruşturma açılmasını engeller?",single-hop,3.06,0.0,0.0,0.0,0.8,0.6411,0.8388,0.0,0.0,0.0,1.76,0.1,1.0,0.1818,1.0,0.4679,0.8623,1.0,1.0,0.0
Yağma suçunda cebir veya tehdit kullanılarak mağdurun bir senedi vermeye zorlanması durumunda ne kadar ceza verilir?,single-hop,3.8,1.0,1.0,1.0,1.0,0.3517,0.8284,1.0,1.0,0.0,2.04,0.1,0.5,0.1667,1.0,0.3136,0.7645,1.0,1.0,0.0
"Atom enerjisi kullanılarak meydana gelen bir patlamanın başkasının hayatını, sağlığını veya malvarlığını tehlikeye atması durumunda, suçun dikkatsizlik sonucu işlenmesi halinde kişi ne kadar hapis cezası alabilir?",single-hop,7.57,1.0,1.0,1.0,1.0,0.4653,0.7619,1.0,0.5,0.0,2.08,0.1,0.5,0.1667,1.0,0.4846,0.885,1.0,1.0,0.0
Türkiye ile savaş halinde olan bir devletten unvan veya şeref kabul etmenin cezai sonuçları nelerdir?,single-hop,4.66,0.0,0.0,0.0,0.0,0.0,0.8317,0.0,0.0,0.0,2.14,0.1,1.0,0.1818,1.0,0.6179,0.914,1.0,1.0,0.0
Hakaret suçunun kamu görevlisine karşı görevinden dolayı işlenmesi halinde ceza nasıl değişir?,single-hop,4.84,1.0,1.0,1.0,1.0,0.3782,0.8345,1.0,1.0,0.0,2.38,0.1,0.5,0.1667,1.0,0.3753,0.8374,1.0,0.6667,0.0
Yaş küçüklüğü ceza sorumluluğunu nasıl etkiler?,single-hop,6.84,0.0833,1.0,0.1538,1.0,0.6059,0.8032,1.0,1.0,0.0,4.33,0.1,1.0,0.1818,0.9333,0.5199,0.8455,1.0,1.0,0.0
Akıl hastalığı ceza sorumluluğunu nasıl etkiler?,single-hop,3.11,0.0833,1.0,0.1538,1.0,0.5485,0.9099,1.0,1.0,0.0,2.42,0.1,1.0,0.1818,1.0,0.5038,0.9092,1.0,1.0,0.0
İdari düzenlemelerle suç ve ceza belirlenebilir mi?,single-hop,9.22,0.0,0.0,0.0,0.0625,0.5977,0.8435,0.0,0.0,0.0,1.81,0.1,1.0,0.1818,1.0,0.553,0.8437,1.0,1.0,0.0
Türk Ceza Kanunu'nun uygulanmasında kişiler arasında ayrımcılık yapılabilir mi?,single-hop,8.06,0.0,0.0,0.0,0.75,0.5397,0.6995,0.0,0.0,0.0,1.94,0.1,1.0,0.1818,1.0,0.6575,0.9087,1.0,1.0,0.0
"Tekerrür hükümleri, önceden işlenen suçtan dolayı verilen cezanın kesinleşmesinden sonra yeni bir suçun işlenmesi hâlinde uygulanır. Doğru mu?",single-hop,4.78,1.0,1.0,1.0,1.0,0.3041,0.8119,1.0,0.5,0.0,3.8,0.1,1.0,0.1818,1.0,0.3041,0.7927,1.0,0.5,0.0
Bir suçun hangi durumlarda Türkiye'de işlenmiş sayılacağına dair hüküm hangi maddede bulunur?,single-hop,3.36,0.0,0.0,0.0,0.0,0.643,0.839,0.0,0.0,0.0,1.94,0.1,1.0,0.1818,1.0,0.7859,0.8699,1.0,1.0,0.0
Soykırım suçu için zamanaşımı süresi var mıdır?,single-hop,5.73,1.0,0.5,0.6667,1.0,0.3637,0.7748,1.0,1.0,0.0,1.51,0.2,1.0,0.3333,1.0,0.3599,0.7748,1.0,1.0,0.0
İnsanlığa karşı suçlar için zamanaşımı süresi var mıdır?,single-hop,4.99,0.5,0.5,0.5,1.0,0.3642,0.8003,1.0,1.0,0.0,2.78,0.2,1.0,0.3333,0.9375,0.4022,0.8003,1.0,1.0,0.0
Birini kasten öldüren bir kişiye verilen ceza nedir?,single-hop,4.71,0.5,1.0,0.6667,1.0,0.4043,0.6517,1.0,1.0,0.0,1.28,0.1,1.0,0.1818,1.0,0.4675,0.74,1.0,1.0,0.0
Birini intihar etmesi için kışkırtan veya yardım eden bir kişiye verilen ceza nedir?,single-hop,18.6,1.0,1.0,1.0,1.0,0.4615,0.8123,1.0,0.5,0.0,2.75,0.1,1.0,0.1818,1.0,0.4633,0.8097,1.0,0.5,0.0
Kasten yaralama suçu silahla işlenirse ceza ne olur?,single-hop,5.68,1.0,1.0,1.0,1.0,0.4698,0.9625,1.0,0.6667,0.0,1.98,0.2,1.0,0.3333,1.0,0.4643,0.9567,1.0,0.6667,0.0
Terk suçu hangi kategoriye giren bir suçtur?,single-hop,2.79,0.0,0.0,0.0,1.0,0.455,0.5962,0.0,0.0,0.0,2.18,0.0,0.0,0.0,1.0,0.0,0.3573,0.0,0.0,0.0
"Rızaya dayalı olsa bile, yetkisiz bir kişi tarafından yapılan kısırlaştırma eylemi ne kadar hapis cezası gerektirir?",single-hop,8.72,1.0,1.0,1.0,1.0,0.3887,0.835,1.0,1.0,0.0,1.41,0.1,1.0,0.1818,1.0,0.3886,0.835,1.0,1.0,0.0
Bir siyasi partiye üye olmaya zorlamanın cezası nedir?,single-hop,13.89,0.0,0.0,0.0,0.5,0.0,0.6782,0.0,0.0,0.0,2.32,0.1,1.0,0.1818,1.0,0.579,0.8775,1.0,1.0,0.0
Bir sendikaya üye olmaya zorlamanın cezası nedir?,single-hop,2.84,0.0,0.0,0.0,0.4,0.0,0.6095,0.0,0.0,0.0,1.85,0.1,1.0,0.1818,1.0,0.4331,0.8687,1.0,0.5,0.0
Bir kişinin yetkili bir kuruma verdiği dilekçe nedensiz olarak reddedildiğinde ne olur?,single-hop,3.29,0.0,0.0,0.0,0.0,0.0,0.7017,0.0,0.0,0.0,2.38,0.1,1.0,0.1818,1.0,0.4906,0.8525,1.0,1.0,0.0
İnsanlar arasındaki haberleşmenin hukuka aykırı olarak engellenmesinin cezası nedir?,single-hop,4.03,0.1,1.0,0.1818,1.0,0.5054,0.7995,1.0,0.5,0.0,3.2,0.1,1.0,0.1818,1.0,0.5009,0.7595,1.0,0.5,0.0
İş ilişkisi nedeniyle emanet edilen bir malı kötüye kullanan kişiye verilen ceza nedir?,single-hop,5.51,1.0,1.0,1.0,1.0,0.4834,0.8898,1.0,0.5,0.0,5.71,0.1,1.0,0.1818,1.0,0.4326,0.781,1.0,0.5,0.0
"Dolandırıcılık suçunun ceza türü nedir, hem hapis hem para cezası var mıdır?",single-hop,4.41,0.3333,1.0,0.5,1.0,0.3662,0.8311,1.0,1.0,0.0,4.94,0.1,1.0,0.1818,1.0,0.2823,0.7896,1.0,1.0,0.0
Bir çocuğu fuhşa teşvik eden veya fuhş için aracılık yapan kişi için hangi ceza uygulanır?,single-hop,4.52,1.0,1.0,1.0,1.0,0.427,0.8533,1.0,0.25,0.0,4.43,0.1,1.0,0.1818,1.0,0.4254,0.8343,1.0,0.25,0.0
Çocukları veya engelli kişileri dilencilikte araç olarak kullanan kişi için hangi ceza uygulanır?,single-hop,4.47,0.0,0.0,0.0,0.25,0.0,0.7122,0.0,0.0,0.0,4.27,0.1,1.0,0.1818,1.0,0.4309,0.8554,1.0,0.3333,0.0
Rüşvet veren kişiye ne kadar ceza verilir?,single-hop,7.32,1.0,1.0,1.0,1.0,0.3246,0.8696,1.0,0.3333,0.0,3.16,0.1,1.0,0.1818,1.0,0.3893,0.865,1.0,1.0,0.0
Bir kişi kanunun hükmünü ve amirin emrini yerine getirirken suç işlerse cezai sorumluluğu ne olur?,single-hop,3.32,0.3333,1.0,0.5,0.75,0.3672,0.9203,1.0,1.0,0.0,2.65,0.1,1.0,0.1818,0.75,0.3495,0.9135,1.0,1.0,0.0
Halkı hükümete karşı silahlı isyana teşvik eden kişiye hangi ceza verilir?,single-hop,2.6,0.1111,1.0,0.2,1.0,0.5764,0.9184,1.0,1.0,0.0,2.39,0.1,1.0,0.1818,1.0,0.5461,0.9256,1.0,1.0,0.0
Savaş zamanında bir kişinin Devletin yetkili makamlarının emirlerine bilerek aykırı hareket etmesi hangi suç kapsamına girer?,single-hop,2.77,0.3333,1.0,0.5,1.0,0.549,0.744,1.0,1.0,0.0,1.76,0.1,1.0,0.1818,1.0,0.4824,0.7578,1.0,1.0,0.0
"Bir asker, komutanının emirlerine karşı gelerek askerî disiplini ihlal ederse ne olur?",single-hop,4.02,0.0,0.0,0.0,0.375,0.0,0.5447,0.0,0.0,0.0,2.56,0.1,1.0,0.1818,0.75,0.6579,0.742,1.0,1.0,0.0
Halkı askerlik hizmetinden soğutmaya yönelik teşviklerde bulunanlar için nasıl bir ceza uygulanır?,single-hop,2.84,0.0,0.0,0.0,0.25,0.4962,0.8321,0.0,0.0,0.0,1.48,0.1,1.0,0.1818,1.0,0.4882,0.8278,1.0,0.6667,0.0
Fikri içtima halinde ceza nasıl belirlenir?,single-hop,4.33,0.0714,1.0,0.1333,1.0,0.5174,0.7811,1.0,1.0,0.0,3.96,0.1,1.0,0.1818,1.0,0.3406,0.918,1.0,1.0,0.0
Haksız tahrik altında suç işleyen kişinin cezası nasıl belirlenir?,single-hop,3.86,0.0769,1.0,0.1429,0.7778,0.2994,0.7893,1.0,1.0,0.0,2.56,0.1,1.0,0.1818,1.0,0.3398,0.8784,1.0,1.0,0.0
Suça teşebbüs halinde ceza nasıl hesaplanır?,single-hop,3.85,1.0,1.0,1.0,1.0,0.3689,0.8915,1.0,1.0,0.0,2.27,0.1,1.0,0.1818,1.0,0.3689,0.8992,1.0,1.0,0.0
"Hırsızlık suçunun daha az cezayı gerektiren hali (Madde 144, 145, 146, 147) ile nitelikli hali (Madde 142) ne zaman uygulanır?",multi-hop,9.0,1.0,1.0,1.0,1.0,0.509,0.7974,1.0,1.0,0.0,12.44,0.7,1.0,0.8235,1.0,0.5227,0.8297,1.0,1.0,0.0
"Malvarlığına karşı suçlarda şahsi cezasızlık sebebi hırsızlık, dolandırıcılık ve yağma suçlarına nasıl uygulanır?",multi-hop,6.08,0.5,0.1429,0.2222,1.0,0.352,0.8178,1.0,0.75,0.0,4.52,0.4,0.5714,0.4706,1.0,0.3731,0.8485,1.0,0.75,0.0
"Kasten yaralama, işkence ve eziyet suçlarının neticesi sebebiyle ağırlaşmış hallerinde ölüm meydana gelmesi durumunda cezalar nasıl farklılaşır?",multi-hop,7.46,0.8333,0.8333,0.8333,1.0,0.4708,0.532,0.0,0.5,0.0,6.48,0.3,0.5,0.375,0.75,0.0,0.55,1.0,0.5,0.0
"Devletin silahlı kuvvetlerine ait olan kara, deniz ve hava ulaşım araçlarını tahrip eden kişiye hangi ceza verilir?",multi-hop,3.04,0.0,0.0,0.0,0.1667,0.0,0.5627,0.0,0.0,0.0,6.17,0.1,1.0,0.1818,1.0,0.4849,0.7801,1.0,1.0,0.0
"Faillik (Madde 37), azmettirme (Madde 38) ve yardım etme (Madde 39) kavramlarının cezalandırılması nasıl farklılaşır?",multi-hop,7.42,1.0,1.0,1.0,1.0,0.4574,0.8613,1.0,1.0,0.0,6.65,0.3,0.75,0.4286,1.0,0.3184,0.8741,1.0,1.0,0.0
Nitelikli hırsızlık suçu zincirleme olarak işlendiğinde ve fail tekerrür halinde ise ceza nasıl hesaplanır?,multi-hop,19.84,1.0,0.5,0.6667,0.6,0.4602,0.8302,1.0,0.4,0.0,12.31,0.3,0.75,0.4286,0.5455,0.4658,0.8443,1.0,0.6,0.0
Resmi belgede sahtecilik suçunu işleyen kamu görevlisi hakkında zincirleme suç ve dava zamanaşımı nasıl uygulanır?,multi-hop,9.68,0.6667,0.4,0.5,0.7143,0.3734,0.744,1.0,0.75,0.0,3.24,0.1,0.2,0.1333,0.6,0.3657,0.8926,0.0,0.25,0.0
Hırsızlık suçunun silahla ve gece vakti işlenmesi halinde ceza nasıl hesaplanır?,multi-hop,7.22,1.0,0.6667,0.8,0.875,0.0,0.8614,1.0,0.75,0.0,2.84,0.3,1.0,0.4615,1.0,0.5076,0.807,1.0,0.5,0.0
Bileşik suç kavramı yağma suçuna nasıl uygulanır ve bu durumda ayrıca hürriyetten yoksun kılma cezası verilir mi?,multi-hop,4.88,1.0,0.5,0.6667,0.375,0.2125,0.8038,1.0,1.0,0.0,4.32,0.1,0.25,0.1429,0.0,0.258,0.813,0.0,0.0,0.0
Cezaevine uyuşturucu madde sokmak ile uyuşturucu ticareti suçları arasında fikri içtima nasıl uygulanır?,multi-hop,6.41,0.75,1.0,0.8571,0.6,0.4181,0.8543,1.0,1.0,0.0,2.73,0.2,0.6667,0.3077,1.0,0.3219,0.8314,1.0,0.5,0.0
"Hırsızlık, yağma ve alacağın tahsili amacıyla cebir kullanma arasındaki cezai farklar nelerdir?",multi-hop,7.45,1.0,1.0,1.0,0.9167,0.3422,0.9125,1.0,1.0,0.0,4.79,0.3,0.6,0.4,0.7273,0.3408,0.9109,1.0,0.4286,0.0
Kasten öldürme suçunun hangi durumlarda ağırlaştırılmış müebbet hapis cezası ile cezalandırıldığını açıklayabilir misiniz?,multi-hop,6.84,0.5,1.0,0.6667,1.0,0.4104,0.8961,1.0,1.0,0.0,2.54,0.0,0.0,0.0,0.75,0.0,0.7415,0.0,0.0,0.0
Kasten yaralama suçunda neticesi sebebiyle ağırlaşmış haller hangi maddede düzenlenir ve temel maddeyle ilişkisi nedir?,multi-hop,5.46,1.0,0.6667,0.8,1.0,0.4211,0.8494,1.0,0.75,0.0,3.46,0.2,0.6667,0.3077,0.8333,0.3998,0.8789,1.0,0.75,0.0
TCK'da gece vakti kavramı nasıl tanımlanır ve hangi suçlarda ağırlaştırıcı neden olarak uygulanır?,multi-hop,4.36,1.0,0.5,0.6667,1.0,0.625,0.9057,1.0,0.6667,0.0,1.76,0.1,0.5,0.1667,1.0,0.5373,0.9449,1.0,0.6667,0.0
Kasten öldürme suçuna teşebbüs halinde ceza ne olur?,multi-hop,6.94,1.0,1.0,1.0,1.0,0.4382,0.8688,1.0,1.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.7536,0.0,0.5,0.0
Cinsel saldırı (Madde 102) ile çocukların cinsel istismarı (Madde 103) suçlarının cezaları nasıl farklılaşır?,multi-hop,7.43,1.0,1.0,1.0,1.0,0.5773,0.9081,1.0,1.0,1.0,14.37,0.2,1.0,0.3333,1.0,0.6241,0.8646,1.0,1.0,0.0
İşkence suçunun neticesi sebebiyle ağırlaşmış halleri (Madde 95) ile kasten yaralama suçunun neticesi sebebiyle ağırlaşmış halleri (Madde 87) arasındaki benzerlikler nelerdir?,multi-hop,7.81,0.6667,0.6667,0.6667,1.0,0.5299,0.7347,1.0,1.0,0.0,5.06,0.3,1.0,0.4615,1.0,0.5488,0.7412,1.0,1.0,0.0
Mala zarar verme suçunun temel hali (Madde 151) ile nitelikli halleri (Madde 152) arasındaki ceza farkı nedir?,multi-hop,4.84,1.0,1.0,1.0,1.0,0.4468,0.8774,1.0,1.0,0.0,3.2,0.2,1.0,0.3333,1.0,0.435,0.8847,1.0,1.0,0.0
Resmi belgede sahtecilik (Madde 204) ile özel belgede sahtecilik (Madde 207) suçlarının cezaları nasıl farklılaşır?,multi-hop,7.43,1.0,1.0,1.0,0.8571,0.4916,0.9011,1.0,1.0,0.0,3.32,0.2,1.0,0.3333,1.0,0.4287,0.9069,1.0,1.0,0.0
Çevrenin kasten kirletilmesi (Madde 181) ile taksirle kirletilmesi (Madde 182) suçlarının cezaları nasıl farklılaşır?,multi-hop,13.74,0.5,1.0,0.6667,1.0,0.4564,0.8766,1.0,1.0,0.0,6.17,0.2,1.0,0.3333,1.0,0.3897,0.8985,1.0,1.0,0.0
Parada sahtecilik (Madde 197) ile kıymetli damgada sahtecilik (Madde 199) suçlarının cezaları nasıl karşılaştırılır?,multi-hop,5.88,0.4,1.0,0.5714,0.8235,0.4111,0.903,1.0,0.6667,0.0,6.92,0.2,1.0,0.3333,1.0,0.3881,0.8846,1.0,0.6667,0.0
Suç örgütü ile silahlı örgüt arasındaki fark nedir ve etkin pişmanlık her ikisine de uygulanır mı?,multi-hop,6.4,1.0,0.5,0.6667,0.75,0.3931,0.8067,1.0,0.5,0.0,5.23,0.4,1.0,0.5714,0.7,0.3931,0.8832,1.0,1.0,0.0
"Güveni kötüye kullanma, zimmet ve görevi kötüye kullanma suçları arasındaki farklar nelerdir?",multi-hop,8.28,0.6667,0.6667,0.6667,0.9375,0.4567,0.8627,1.0,0.5,0.0,7.49,0.3,1.0,0.4615,1.0,0.3406,0.8567,1.0,0.75,0.0
Hürriyete karşı suçlar Türk Ceza Kanunu'nun hangi bölümünde yer alır?,multi-hop,2.28,0.0,0.0,0.0,0.3333,0.5813,0.8227,0.0,0.0,0.0,1.93,0.2,0.1538,0.1739,0.5,0.8604,0.8209,1.0,0.5,0.0
Türk Ceza Kanunu'nun 'Kişilere Karşı Suçlar' bölümünde hangi suçlar incelenir?,multi-hop,4.55,0.0,0.0,0.0,0.0,0.0,0.7788,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.1733,0.0,0.0,0.0
"Bu bölümdeki hükümler, kişilerin özel hayatın gizliliği hakkını koruması için hangi temel ilkelere dayanır?",multi-hop,6.33,0.6,0.5,0.5455,0.0,0.4471,0.8011,1.0,0.375,0.0,5.07,0.5,0.4167,0.4545,0.4444,0.4235,0.7857,1.0,0.25,0.0
Düşman devletin ordusunda komuta görevi üstlenen vatandaşlar için hangi ceza uygulanır?,multi-hop,3.56,0.0,0.0,0.0,0.75,0.6201,0.6865,0.0,0.0,0.0,1.61,0.0,0.0,0.0,1.0,0.5211,0.7625,1.0,1.0,0.0
Yağma suçunun temel şeklinin cezası nedir ve nitelikli yağmanın cezası bundan nasıl farklıdır?,multi-hop,4.64,1.0,1.0,1.0,1.0,0.328,0.8933,1.0,1.0,0.0,2.87,0.2,1.0,0.3333,1.0,0.3952,0.9039,1.0,1.0,0.0
Hırsızlık suçu gece vakti işlenirse ceza nasıl değişir?,multi-hop,4.41,1.0,0.5,0.6667,1.0,0.5749,0.9325,1.0,0.5,0.0,2.03,0.2,1.0,0.3333,0.75,0.5778,0.9238,1.0,1.0,0.0
Basit hırsızlık ile nitelikli hırsızlık arasındaki ceza farkı nedir?,multi-hop,5.45,1.0,1.0,1.0,0.875,0.4537,0.8737,1.0,1.0,0.0,4.43,0.2,1.0,0.3333,1.0,0.4609,0.8874,1.0,1.0,0.0
Dolandırıcılık ile nitelikli dolandırıcılık arasındaki fark nedir?,multi-hop,11.16,1.0,1.0,1.0,1.0,0.261,0.8705,1.0,1.0,0.0,4.35,0.2,1.0,0.3333,1.0,0.1852,0.8816,1.0,1.0,0.0
Kasten öldürme suçunun nitelikli halleri nelerdir ve cezası temel halden nasıl farklıdır?,multi-hop,7.14,1.0,1.0,1.0,0.9444,0.5266,0.8445,1.0,1.0,0.0,3.94,0.1,0.5,0.1667,0.9375,0.4762,0.8818,1.0,1.0,0.0
Cebir suçunun cezası nasıl hesaplanır ve hangi suça atıf yapar?,multi-hop,4.94,0.0,0.0,0.0,0.7778,0.0,0.7538,1.0,0.5,0.0,3.08,0.1,0.5,0.1667,1.0,0.3223,0.8983,1.0,0.5,0.0
Meşru savunma halinde suç işleyen kişiye ceza verilir mi?,multi-hop,3.6,0.3333,0.5,0.4,1.0,0.5262,0.812,1.0,0.3333,0.0,3.25,0.0,0.0,0.0,0.4,0.0,0.6194,0.0,0.0,0.0
